"","date","epiweek","geocode","casos","uf","macroregional_geocode","regional_geocode","train_1","target_1","train_2","target_2","train_3","target_3"
"1",2010-01-03,201001,3550308,49,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"2",2010-01-10,201002,3550308,46,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"3",2010-01-17,201003,3550308,43,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"4",2010-01-24,201004,3550308,75,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"5",2010-01-31,201005,3550308,103,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"6",2010-02-07,201006,3550308,121,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"7",2010-02-14,201007,3550308,291,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"8",2010-02-21,201008,3550308,427,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"9",2010-02-28,201009,3550308,446,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"10",2010-03-07,201010,3550308,379,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"11",2010-03-14,201011,3550308,607,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"12",2010-03-21,201012,3550308,795,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"13",2010-03-28,201013,3550308,948,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"14",2010-04-04,201014,3550308,1112,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"15",2010-04-11,201015,3550308,676,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"16",2010-04-18,201016,3550308,676,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"17",2010-04-25,201017,3550308,904,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"18",2010-05-02,201018,3550308,726,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"19",2010-05-09,201019,3550308,515,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"20",2010-05-16,201020,3550308,289,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"21",2010-05-23,201021,3550308,186,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"22",2010-05-30,201022,3550308,162,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"23",2010-06-06,201023,3550308,108,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"24",2010-06-13,201024,3550308,53,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"25",2010-06-20,201025,3550308,39,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"26",2010-06-27,201026,3550308,43,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"27",2010-07-04,201027,3550308,43,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"28",2010-07-11,201028,3550308,30,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"29",2010-07-18,201029,3550308,40,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"30",2010-07-25,201030,3550308,30,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"31",2010-08-01,201031,3550308,10,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"32",2010-08-08,201032,3550308,15,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"33",2010-08-15,201033,3550308,10,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"34",2010-08-22,201034,3550308,9,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"35",2010-08-29,201035,3550308,8,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"36",2010-09-05,201036,3550308,11,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"37",2010-09-12,201037,3550308,5,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"38",2010-09-19,201038,3550308,10,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"39",2010-09-26,201039,3550308,6,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"40",2010-10-03,201040,3550308,5,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"41",2010-10-10,201041,3550308,5,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"42",2010-10-17,201042,3550308,7,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"43",2010-10-24,201043,3550308,12,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"44",2010-10-31,201044,3550308,6,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"45",2010-11-07,201045,3550308,13,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"46",2010-11-14,201046,3550308,13,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"47",2010-11-21,201047,3550308,14,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"48",2010-11-28,201048,3550308,24,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"49",2010-12-05,201049,3550308,28,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"50",2010-12-12,201050,3550308,22,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"51",2010-12-19,201051,3550308,18,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"52",2010-12-26,201052,3550308,22,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"53",2011-01-02,201101,3550308,46,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"54",2011-01-09,201102,3550308,72,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"55",2011-01-16,201103,3550308,65,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"56",2011-01-23,201104,3550308,75,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"57",2011-01-30,201105,3550308,131,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"58",2011-02-06,201106,3550308,126,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"59",2011-02-13,201107,3550308,152,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"60",2011-02-20,201108,3550308,203,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"61",2011-02-27,201109,3550308,250,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"62",2011-03-06,201110,3550308,196,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"63",2011-03-13,201111,3550308,292,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"64",2011-03-20,201112,3550308,365,"SP",3521,35016,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
