date,enso,iod,pdo
1993-01-04,1.12037,-0.339384,0.816528
1993-01-11,1.212844,0.036703,1.069586
1993-01-17,1.147867,0.044273,0.671869
1993-01-24,1.001203,-0.160355,0.543553
1993-01-31,1.051898,-0.420325,1.431639
1993-02-08,1.116722,-0.249804,1.578989
1993-02-15,1.198372,-0.097645,1.311522
1993-02-22,1.142579,-0.05301,1.281248
1993-02-28,1.249196,0.159496,1.027716
1993-03-07,1.252224,0.010349,1.17309
1993-03-15,1.287072,-0.067957,1.406328
1993-03-22,1.214319,-0.281234,0.966424
1993-03-29,1.218677,-0.488349,0.849399
1993-04-04,1.360798,-0.159791,0.995313
1993-04-11,1.348408,-0.29684,0.957195
1993-04-18,1.344525,-0.392282,1.056013
1993-04-26,1.350604,-0.384468,1.014568
1993-05-03,1.254911,0.17953,0.935062
1993-05-10,1.295032,-0.031193,1.091852
1993-05-16,1.278204,0.001377,1.288789
1993-05-23,1.267318,-0.114592,1.254929
1993-05-30,1.137079,-0.187855,1.150543
1993-06-07,0.829772,-0.020699,0.88236
1993-06-14,0.848558,-0.091309,1.102323
1993-06-21,0.952185,0.197739,1.209915
1993-06-27,0.948873,0.5137,1.28297
1993-07-04,0.82218,0.408351,1.228197
1993-07-12,0.905691,0.340804,1.285216
1993-07-19,0.87815,0.293133,0.992178
1993-07-26,0.885558,-0.229609,1.059728
1993-08-01,0.704231,-0.955782,1.072421
1993-08-08,0.740849,-0.780307,1.241292
1993-08-15,0.890643,-0.570527,1.212584
1993-08-23,0.962823,-0.302919,1.128166
1993-08-30,0.918779,-0.217401,1.484308
1993-09-06,0.8592,-0.33991,1.495664
1993-09-12,0.782404,-0.438579,1.372305
1993-09-19,0.737446,-0.2752,1.252104
1993-09-26,0.711197,-0.325404,1.061624
1993-10-04,0.694754,-0.328332,1.463161
1993-10-11,0.727656,-0.500353,1.515928
1993-10-17,0.84742,-0.582138,1.669271
1993-10-24,0.803855,-0.512395,1.635171
1993-10-31,0.816131,0.013033,1.729331
1993-11-08,0.767603,-0.131058,1.650916
1993-11-15,0.832051,-0.321234,1.523481
1993-11-22,0.7606,-0.622518,1.173142
1993-11-28,0.702237,-0.814387,0.717794
1993-12-05,0.741061,-0.822434,0.512341
1993-12-12,0.720192,-0.940592,0.537458
1993-12-20,0.711463,-1.080507,0.930605
1993-12-27,0.659694,-1.06722,1.331025
1994-01-03,0.730112,-1.320816,1.379573
1994-01-09,0.709512,-0.984414,1.111197
1994-01-16,0.637372,-0.649522,1.168017
1994-01-24,0.488951,-0.586403,1.025545
1994-01-31,0.292896,-0.381483,1.032372
1994-02-07,0.338479,-0.688898,1.031495
1994-02-13,0.159673,-0.654637,0.630946
1994-02-20,0.010953,-0.543128,0.535378
1994-02-27,-0.064508,-0.602795,0.774967
1994-03-07,0.072348,-0.44364,0.986636
1994-03-14,0.066559,-0.387502,0.703289
1994-03-21,-0.026117,-0.46983,0.317533
1994-03-27,-0.027431,-0.715805,0.488183
1994-04-03,0.141095,-0.165192,0.634895
1994-04-10,0.199006,-0.239224,0.640951
1994-04-18,0.230697,-0.239991,0.528651
1994-04-25,0.284835,-0.134203,0.345881
1994-05-01,0.237941,0.49519,0.587888
1994-05-08,0.231979,0.614815,0.539671
1994-05-15,0.382661,0.755224,0.498548
1994-05-23,0.488554,0.771405,0.433707
1994-05-30,0.550164,0.912663,0.32271
1994-06-06,0.381451,1.136517,0.327476
1994-06-12,0.362283,1.163465,0.593639
1994-06-19,0.435701,0.982024,0.682164
1994-06-26,0.565639,0.903556,0.616311
1994-07-04,0.36603,0.599939,0.44041
1994-07-11,0.430038,0.864197,0.318286
1994-07-18,0.552449,1.219972,0.467596
1994-07-24,0.674738,1.598229,0.464716
1994-07-31,0.622446,1.2636,0.165159
1994-08-07,0.702176,1.193063,0.326607
1994-08-15,0.765671,1.205879,0.559749
1994-08-22,0.87636,1.442949,0.546702
1994-08-28,0.939936,1.629015,0.561399
1994-09-04,0.85026,1.584516,0.574035
1994-09-11,0.930415,1.60975,0.588408
1994-09-19,1.088646,1.576191,0.683141
1994-09-26,1.055878,1.436628,0.772062
1994-10-03,1.067029,1.400857,0.769111
1994-10-09,1.114716,1.417879,0.729063
1994-10-16,1.099741,1.498933,0.760548
1994-10-23,1.076184,1.516855,0.484835
1994-10-31,1.073999,1.613035,0.473176
1994-11-07,1.155351,2.147546,0.774915
1994-11-14,1.349666,2.011967,0.314989
1994-11-20,1.424665,1.741529,0.083761
1994-11-27,1.374659,1.256682,0.101097
1994-12-05,1.283454,1.027121,0.048049
1994-12-12,1.330145,0.942781,-0.315853
1994-12-19,1.470133,1.08617,-0.356412
1994-12-25,1.657191,1.391611,-0.189205
1995-01-01,1.815875,1.40864,-0.087786
1995-01-08,1.701209,1.362309,0.10917
1995-01-16,1.641632,1.348216,0.224877
1995-01-23,1.490868,1.074709,0.565731
1995-01-30,1.328156,0.663657,0.986473
1995-02-05,1.392667,0.099099,1.349276
1995-02-12,1.265294,0.435741,1.265655
1995-02-19,1.100046,0.553607,1.056158
1995-02-27,0.953106,0.568708,1.032758
1995-03-06,0.918769,0.650866,1.431867
1995-03-12,0.804251,0.557011,1.07014
1995-03-19,0.763106,0.43692,0.661136
1995-03-26,0.659178,0.330894,0.475266
1995-04-03,0.594882,0.707231,0.401964
1995-04-10,0.53824,0.334637,0.22512
1995-04-17,0.541606,0.144089,0.469115
1995-04-23,0.507915,0.049489,0.802908
1995-04-30,0.524524,0.544242,0.882898
1995-05-07,0.506736,0.370847,0.675536
1995-05-15,0.423431,-0.049526,0.739551
1995-05-22,0.54863,-0.237737,0.657063
1995-05-29,0.628829,-0.082757,0.721398
1995-06-04,0.404052,0.333539,0.568447
1995-06-11,0.416937,0.280618,0.413293
1995-06-19,0.407159,-0.005595,0.640799
1995-06-26,0.298926,-0.135213,0.754662
1995-07-03,0.1442,-0.385255,0.52136
1995-07-09,0.101743,-0.504272,0.585796
1995-07-16,0.009993,-0.384898,0.563837
1995-07-23,0.129395,-0.204559,0.496876
1995-07-31,0.082748,-0.093817,0.512758
1995-08-07,-0.161094,-0.626865,0.26209
1995-08-14,-0.219406,-0.566023,0.297117
1995-08-20,-0.256092,-0.339999,0.193218
1995-08-27,-0.313762,-0.208068,0.204528
1995-09-03,-0.356463,-0.247621,0.321041
1995-09-11,-0.312769,-0.075967,0.69743
1995-09-18,-0.283618,-0.078886,0.847186
1995-09-24,-0.318554,-0.103136,0.675096
1995-10-01,-0.304721,-0.012235,0.777234
1995-10-08,-0.325473,-0.211013,0.553317
1995-10-16,-0.342252,-0.313735,0.316766
1995-10-23,-0.451316,-0.319501,0.35297
1995-10-30,-0.46287,-0.532176,0.431558
1995-11-05,-0.425245,-0.464549,0.540895
1995-11-12,-0.477987,-0.834741,0.423018
1995-11-19,-0.503345,-1.316683,0.530707
1995-11-27,-0.526941,-1.513604,0.645558
1995-12-11,-0.628097,-1.047839,0.573368
1995-12-17,-0.499069,-0.597166,0.195697
1995-12-24,-0.473868,-0.341258,0.429977
1996-01-01,-0.341416,-0.274421,0.787172
1996-01-07,-0.31426,-0.04052,0.951884
1996-01-14,-0.319752,0.054588,0.823505
1996-01-21,-0.314011,-0.135006,0.458112
1996-01-28,-0.347453,0.018902,0.664415
1996-02-04,-0.266877,-0.219964,0.85319
1996-02-11,-0.343498,-0.2559,0.80253
1996-02-18,-0.321157,-0.181841,0.682467
1996-02-25,-0.380461,-0.217538,0.568725
1996-03-03,-0.229843,-0.235687,0.80833
1996-03-10,-0.243974,-0.196956,0.74666
1996-03-17,-0.221292,-0.182871,0.618374
1996-03-24,-0.344643,-0.102898,0.811895
1996-03-31,-0.279641,0.114294,0.806207
1996-04-07,-0.256389,-0.29222,0.706294
1996-04-14,-0.312154,-0.626177,0.382068
1996-04-21,-0.29261,-0.939199,0.350292
1996-04-28,-0.270262,-1.325424,0.936518
1996-05-05,-0.332187,-1.021565,1.296185
1996-05-12,-0.234517,-1.128978,1.354279
1996-05-19,-0.133904,-0.838561,1.167303
1996-05-26,-0.024579,-0.514715,1.201648
1996-06-02,-0.14498,-0.103081,0.975949
1996-06-09,-0.182881,-0.256361,0.838938
1996-06-16,-0.215055,-0.436357,0.804518
1996-06-23,-0.144351,-0.225749,0.775322
1996-06-30,-0.259293,-0.360734,0.786863
1996-07-07,-0.284053,-0.452092,0.722949
1996-07-14,-0.255717,-0.718058,0.774062
1996-07-21,-0.300651,-0.597409,0.880753
1996-07-28,-0.309585,-0.443874,0.979588
1996-08-04,-0.375637,-0.748696,1.019806
1996-08-11,-0.260935,-0.645098,0.782383
1996-08-18,-0.288439,-0.76975,0.735884
1996-08-25,-0.355341,-1.026535,0.847973
1996-09-01,-0.488987,-1.152621,0.818767
1996-09-08,-0.526478,-1.249918,0.696343
1996-09-15,-0.530087,-1.178461,0.94979
1996-09-22,-0.548741,-1.163545,1.176015
1996-09-29,-0.451212,-1.250065,1.163178
1996-10-06,-0.44401,-1.278538,1.128609
1996-10-13,-0.513211,-1.446257,0.894793
1996-10-20,-0.510703,-1.719336,0.624281
1996-10-27,-0.630478,-1.921495,0.725105
1996-11-03,-0.639938,-1.849698,1.050272
1996-11-10,-0.604174,-1.993842,1.006803
1996-11-17,-0.59403,-1.799932,1.036322
1996-11-24,-0.602001,-1.503132,0.780377
1996-12-01,-0.516546,-1.431331,0.423473
1996-12-08,-0.521962,-1.504922,0.423823
1996-12-15,-0.56699,-1.731894,0.876177
1996-12-22,-0.415567,-1.561712,1.506916
1996-12-29,-0.21561,-1.300351,1.61245
1997-01-05,0.012337,-1.344106,1.454705
1997-01-12,0.222854,-0.963103,1.336482
1997-01-20,0.317303,-0.595249,1.610926
1997-01-27,0.252722,-0.456358,1.742176
1997-02-03,0.337932,-0.837122,1.267307
1997-02-09,0.222071,-0.982301,1.215273
1997-02-16,0.0726,-1.302482,1.095326
1997-02-23,-0.004663,-1.398236,1.092455
1997-03-03,0.292788,-1.356582,1.016824
1997-03-10,0.475941,-1.242078,0.894286
